CRISPRa-,,,CRISPRa+,,,CRISPRi-,,,CRISPRi+,
,,,,,,GPR20,1G12,,GRM7,2G5
,,,,,,GPR20,1H12,,GRM7,2G11
,,,,,,GPR20,2A6,,GRM7,2H5
,,,,,,GPR20,2A12,,GRM7,3B11
,,,,,,GPR20,2B6,,GRM7,1B3
,,,,,,GPR20,2B12,,GRM7,3A3
,,,,,,GPR20,2C12,,GRM7,3A5
,,,,,,GPR20,2D6,,GRM7,2C3
,,,,,,GPR20,2D12,,GRM7,1C5
,,,,,,GPR20,2E6,,GRM7,2C5
,,,,,,GPR20,2E12,,GRM7,1C3
,,,,,,GPR20,2F12,,HRH3,4G1
,,,,,,GPR20,2G6,,HRH3,4G7
,,,,,,GPR20,2G12,,HRH3,4H1
,,,,,,GPR20,1B7,,HRH3,5A1
,,,,,,GPR20,1C1,,HRH3,5A7
,,,,,,GPR20,1B11,,HRH3,5D1
,,,,,,GPR20,1C5,,HRH3,5D7
,,,,,,GPR21,1B1,,HRH3,5E1
,,,,,,GPR21,1C7,,HRH3,5E7
,,,,,,GPR21,1H1,,HRH3,5F1
,,,,,,GPR21,1G7,,HRH3,5G1
,,,,,,GPR21,2A7,,HRH3,5G7
,,,,,,GPR21,1A7,,HRH3,4G3
,,,,,,GPR27,2B5,,HRH3,4G9
,,,,,,GPR27,2B2,,HRH3,4H3
,,,,,,GPR27,2C8,,HRH3,5A3
,,,,,,GPR27,2C11,,HRH3,5A9
,,,,,,GPR31,10C10,,HRH3,5B3
,,,,,,GPR31,10D6,,HRH3,5B9
,,,,,,GPR31,10C11,,HRH3,5C3
,,,,,,GPR31,10D7,,HRH3,5D3
,,,,,,GPR34,1A11,,HRH3,5D9
,,,,,,GPR34,1A7,,HRH3,5E3
,,,,,,GPR55,2B8,,HRH3,5E9
,,,,,,GPR55,1G11,,HRH3,5F3
,,,,,,GPR55,2B11,,HRH3,5G3
,,,,,,GPR55,1G12,,HRH3,5G9
,,,,,,GPR55,2B12,,HRH3,4G4
,,,,,,GPR55,1G8,,HRH3,4G10
,,,,,,GRM2,1E+12,,HRH3,4H4
,,,,,,HCRTR1,1D1,,HRH3,5A4
,,,,,,HCRTR1,1E7,,HRH3,5A10
,,,,,,HRH1,2E9,,HRH3,5B4
,,,,,,HRH1,2E11,,HRH3,5B10
,,,,,,HRH2,1A1,,HRH3,5C4
,,,,,,HRH2,1G1,,HRH3,5D4
,,,,,,HRH2,1A5,,HRH3,5D10
,,,,,,HRH2,1G5,,HRH3,5E4
,,,,,,HTR1F,2B10,,HRH3,5E10
,,,,,,HTR1F,2E10,,HRH3,5F4
,,,,,,HTR1F,2E12,,HRH3,5G4
,,,,,,HTR1F,2B12,,HRH3,5G10
